time_debut,time_fin,n_stations,stations,n_picks,probabilite_max
2014-02-21T13:10:39.649900,2014-02-21T13:10:48.339900,5,"BAM,CPM,GBM,IA2,MLM",5,0.9928618669509888
2014-02-21T13:13:52.029900,2014-02-21T13:13:56.230000,5,"BAM,GBM,IA2,MLM,SAM",5,0.9999996423721313
2014-02-21T13:29:23.959900,2014-02-21T13:29:26.530000,5,"BAM,IA2,LAM,MLM,SAM",5,0.9999995827674866
2014-02-21T13:29:37.409900,2014-02-21T13:29:41.580000,4,"BAM,CPM,IA2,SAM",4,0.9999999403953552
2014-02-21T13:35:55.500000,2014-02-21T13:36:05.420000,4,"BAM,CPM,IA2,LAM",5,1.0
2014-02-21T13:37:50.579900,2014-02-21T13:37:58.589900,4,"BAM,CPM,GBM,MLM",4,0.9703643918037415
2014-02-21T13:38:36.140000,2014-02-21T13:38:41.729900,4,"BAM,GBM,IA2,MLM",4,0.9999996423721313
2014-02-21T13:50:21.039900,2014-02-21T13:50:29.490000,4,"BAM,CPM,LAM,MLM",4,0.9994730949401855
2014-02-21T14:47:39.879900,2014-02-21T14:47:44.629900,4,"CPM,GBM,LAM,MLM",4,0.9843841791152954
2014-02-21T15:23:36.910000,2014-02-21T15:23:46.740000,5,"CPM,IA2,LAM,MLM,SAM",5,1.0
2014-02-21T15:26:51.099900,2014-02-21T15:26:58.309900,4,"CPM,GBM,IA2,MLM",4,1.0
2014-02-21T15:43:10.469900,2014-02-21T15:43:17.360000,4,"BAM,CPM,IA2,MLM",4,1.0
2014-02-21T16:16:04.660000,2014-02-21T16:16:12.069900,4,"BAM,CPM,GBM,IA2",4,1.0
2014-02-21T16:22:22.669900,2014-02-21T16:22:32.409900,4,"BAM,CPM,GBM,MLM",5,0.9928626418113708
2014-02-21T19:43:09.620000,2014-02-21T19:43:18.109900,4,"BAM,CPM,IA2,SAM",4,0.9557325839996338
2014-02-21T21:26:16.419900,2014-02-21T21:26:25.430000,4,"BAM,IA2,MLM,SAM",4,0.9963130354881287
2014-02-22T19:12:18.469900,2014-02-22T19:12:24.140000,4,"CPM,GBM,IA2,MLM",5,0.9988605976104736
2014-02-22T19:13:03.940000,2014-02-22T19:13:08.739900,5,"BAM,CPM,GBM,IA2,MLM",7,0.9966290593147278
2014-02-22T20:37:06.420000,2014-02-22T20:37:15.150000,4,"BAM,IA2,MLM,SAM",6,0.999752402305603
2014-02-23T00:10:05.269900,2014-02-23T00:10:05.940000,7,"BAM,CPM,GBM,IA2,LAM,MLM,SAM",7,1.0
2014-02-23T00:14:19.429900,2014-02-23T00:14:28.389900,4,"BAM,CPM,LAM,SAM",4,0.9987816214561462
2014-02-23T01:34:35.870000,2014-02-23T01:34:41.230000,4,"BAM,CPM,IA2,SAM",5,0.9960793256759644
2014-02-23T01:36:17.179900,2014-02-23T01:36:23.630000,4,"BAM,CPM,LAM,SAM",4,0.9878659248352051
2014-02-24T03:01:07.060000,2014-02-24T03:01:16.090000,4,"BAM,CPM,IA2,SAM",4,0.9890540242195129
2014-02-24T12:02:14.839900,2014-02-24T12:02:22.560000,4,"BAM,CPM,MLM,SAM",4,0.9564875364303589
2014-02-24T12:48:17.569900,2014-02-24T12:48:18.559900,5,"BAM,CPM,GBM,IA2,LAM",5,0.9998564720153809
2014-02-24T13:15:05.239900,2014-02-24T13:15:14.990000,5,"BAM,CPM,GBM,LAM,MLM",5,1.0
2014-02-24T13:15:41.329900,2014-02-24T13:15:49.459900,5,"BAM,CPM,GBM,MLM,SAM",6,1.0
2014-02-24T13:16:05.029900,2014-02-24T13:16:12.799900,4,"BAM,CPM,IA2,MLM",5,1.0
2014-02-24T13:16:19.769900,2014-02-24T13:16:28.319900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:16:30.210000,2014-02-24T13:16:36.889900,4,"BAM,CPM,LAM,MLM",4,0.9999998211860657
2014-02-24T13:17:04.639900,2014-02-24T13:17:09.469900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:17:42.490000,2014-02-24T13:17:48.250000,5,"BAM,CPM,GBM,LAM,MLM",6,1.0
2014-02-24T13:17:59.269900,2014-02-24T13:18:01.889900,4,"BAM,CPM,IA2,MLM",4,0.9999997615814209
2014-02-24T13:18:24.169900,2014-02-24T13:18:32.779900,5,"BAM,CPM,GBM,IA2,MLM",6,1.0
2014-02-24T13:19:01.499900,2014-02-24T13:19:09.839900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:19:46.269900,2014-02-24T13:19:51.739900,5,"BAM,CPM,GBM,IA2,MLM",5,1.0
2014-02-24T13:20:13.959900,2014-02-24T13:20:21.759900,4,"BAM,CPM,MLM,SAM",5,0.9999998807907104
2014-02-24T13:20:25.839900,2014-02-24T13:20:33.369900,5,"BAM,CPM,GBM,LAM,MLM",5,1.0
2014-02-24T13:20:37.199900,2014-02-24T13:20:46.999900,4,"BAM,CPM,MLM,SAM",5,1.0
2014-02-24T13:21:00.579900,2014-02-24T13:21:08.469900,5,"BAM,CPM,GBM,MLM,SAM",6,1.0
