WI.SAM.00.HHE | 2014-04-08T00:00:00.000000Z - 2014-04-09T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-04-09T00:00:00.000000Z - 2014-04-10T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-04-10T00:00:00.000000Z - 2014-04-11T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-04-11T00:00:00.000000Z - 2014-04-12T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-04-12T00:00:00.000000Z - 2014-04-13T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-04-13T00:00:00.000000Z - 2014-04-14T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-04-14T00:00:00.000000Z - 2014-04-14T23:59:59.990000Z | 100.0 Hz, 8640000 samples
WI.SAM.00.HHE | 2014-04-15T00:00:00.000000Z - 2014-04-15T23:59:59.990000Z | 100.0 Hz, 8640000 samples
WI.SAM.00.HHE | 2014-04-16T00:00:00.000000Z - 2014-04-17T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-04-17T00:00:00.000000Z - 2014-04-17T02:11:59.020000Z | 100.0 Hz, 791903 samples
WI.SAM.00.HHE | 2014-04-18T00:00:00.000000Z - 2014-04-19T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-04-19T00:00:00.000000Z - 2014-04-19T23:59:59.990000Z | 100.0 Hz, 8640000 samples
WI.SAM.00.HHE | 2014-04-20T00:00:00.000000Z - 2014-04-21T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-04-21T00:00:00.000000Z - 2014-04-22T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-04-22T00:00:00.000000Z - 2014-04-23T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-04-23T00:00:00.000000Z - 2014-04-23T23:59:59.990000Z | 100.0 Hz, 8640000 samples
WI.SAM.00.HHE | 2014-04-24T00:00:00.000000Z - 2014-04-25T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-04-25T00:00:00.000000Z - 2014-04-25T23:59:59.990000Z | 100.0 Hz, 8640000 samples
WI.SAM.00.HHE | 2014-04-26T00:00:00.000000Z - 2014-04-27T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-04-27T00:00:00.000000Z - 2014-04-27T23:59:59.990000Z | 100.0 Hz, 8640000 samples
WI.SAM.00.HHE | 2014-04-28T00:00:00.000000Z - 2014-04-28T12:36:26.770000Z | 100.0 Hz, 4538678 samples
WI.SAM.00.HHE | 2014-04-29T00:00:00.000000Z - 2014-04-30T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-04-30T00:00:00.000000Z - 2014-05-01T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-05-01T00:00:00.000000Z - 2014-05-01T23:59:59.990000Z | 100.0 Hz, 8640000 samples
WI.SAM.00.HHE | 2014-05-02T00:00:00.000000Z - 2014-05-03T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-05-03T00:00:00.000000Z - 2014-05-04T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-05-04T00:00:00.000000Z - 2014-05-05T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-05-05T00:00:00.000000Z - 2014-05-05T16:11:26.790000Z | 100.0 Hz, 5828680 samples
WI.SAM.00.HHE | 2014-05-06T00:00:00.000000Z - 2014-05-06T23:59:59.990000Z | 100.0 Hz, 8640000 samples
WI.SAM.00.HHE | 2014-05-07T00:00:00.000000Z - 2014-05-08T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-05-08T00:00:00.000000Z - 2014-05-08T23:59:59.990000Z | 100.0 Hz, 8640000 samples
WI.SAM.00.HHE | 2014-05-09T00:00:00.000000Z - 2014-05-10T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-05-10T00:00:00.000000Z - 2014-05-10T23:59:59.990000Z | 100.0 Hz, 8640000 samples
WI.SAM.00.HHE | 2014-05-11T00:00:00.000000Z - 2014-05-12T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-05-12T00:00:00.000000Z - 2014-05-13T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-05-13T00:00:00.000000Z - 2014-05-14T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-05-14T00:00:00.000000Z - 2014-05-15T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-05-15T00:00:00.000000Z - 2014-05-15T01:57:28.270000Z | 100.0 Hz, 704828 samples
WI.SAM.00.HHE | 2014-05-16T00:00:00.000000Z - 2014-05-16T23:59:59.990000Z | 100.0 Hz, 8640000 samples
WI.SAM.00.HHE | 2014-05-17T00:00:00.000000Z - 2014-05-17T23:59:59.990000Z | 100.0 Hz, 8640000 samples
WI.SAM.00.HHE | 2014-05-18T00:00:00.000000Z - 2014-05-18T23:59:59.990000Z | 100.0 Hz, 8640000 samples
WI.SAM.00.HHE | 2014-05-19T00:00:00.000000Z - 2014-05-19T15:01:24.380000Z | 100.0 Hz, 5408439 samples
WI.SAM.00.HHE | 2014-05-20T00:00:00.000000Z - 2014-05-21T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-05-21T00:00:00.000000Z - 2014-05-22T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-05-22T00:00:00.000000Z - 2014-05-23T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHE | 2014-05-23T00:00:00.000000Z - 2014-05-23T19:44:01.590000Z | 100.0 Hz, 7104160 samples
WI.SAM.00.HHE | 2014-05-24T00:00:01.930000Z - 2014-05-24T00:14:47.260000Z | 100.0 Hz, 88534 samples
WI.SAM.00.HHE | 2014-05-25T00:00:00.000000Z - 2014-05-25T00:01:49.080000Z | 100.0 Hz, 10909 samples
WI.SAM.00.HHE | 2014-05-26T00:00:00.000000Z - 2014-05-26T23:59:59.990000Z | 100.0 Hz, 8640000 samples
