MQ.IA2.00.EHE | 2014-04-07T00:00:00.000000Z - 2014-04-07T12:40:02.740000Z | 100.0 Hz, 4560275 samples
MQ.IA2.00.EHE | 2014-04-08T00:00:00.000000Z - 2014-04-08T15:53:59.740000Z | 100.0 Hz, 5723975 samples
MQ.IA2.00.EHE | 2014-04-09T00:00:00.000000Z - 2014-04-09T18:48:08.740000Z | 100.0 Hz, 6768875 samples
MQ.IA2.00.EHE | 2014-04-10T00:00:00.000000Z - 2014-04-10T11:58:58.740000Z | 100.0 Hz, 4313875 samples
MQ.IA2.00.EHE | 2014-04-11T00:00:00.000000Z - 2014-04-11T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.IA2.00.EHE | 2014-04-12T00:00:00.000000Z - 2014-04-12T06:47:27.740000Z | 100.0 Hz, 2444775 samples
MQ.IA2.00.EHE | 2014-04-13T00:00:00.000000Z - 2014-04-13T11:32:14.740000Z | 100.0 Hz, 4153475 samples
MQ.IA2.00.EHE | 2014-04-14T00:00:00.000000Z - 2014-04-14T09:21:08.740000Z | 100.0 Hz, 3366875 samples
MQ.IA2.00.EHE | 2014-04-15T00:00:00.000000Z - 2014-04-15T09:52:57.740000Z | 100.0 Hz, 3557775 samples
MQ.IA2.00.EHE | 2014-04-16T00:00:00.000000Z - 2014-04-16T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHE | 2014-04-17T00:00:00.000000Z - 2014-04-17T10:30:12.740000Z | 100.0 Hz, 3781275 samples
MQ.IA2.00.EHE | 2014-04-18T00:00:00.000000Z - 2014-04-18T14:41:19.740000Z | 100.0 Hz, 5287975 samples
MQ.IA2.00.EHE | 2014-04-19T00:00:00.000000Z - 2014-04-19T01:54:30.740000Z | 100.0 Hz, 687075 samples
MQ.IA2.00.EHN | 2014-04-20T00:00:00.000000Z - 2014-04-20T23:27:32.740000Z | 100.0 Hz, 8445275 samples
MQ.IA2.00.EHE | 2014-04-21T00:00:00.000000Z - 2014-04-21T02:13:47.740000Z | 100.0 Hz, 802775 samples
MQ.IA2.00.EHE | 2014-04-22T00:00:00.000000Z - 2014-04-22T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHE | 2014-04-23T00:00:00.000000Z - 2014-04-23T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHE | 2014-04-24T00:00:00.000000Z - 2014-04-24T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHE | 2014-04-25T00:00:00.000000Z - 2014-04-25T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHE | 2014-04-26T00:00:00.000000Z - 2014-04-26T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.IA2.00.EHE | 2014-04-27T00:00:00.000000Z - 2014-04-27T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHE | 2014-04-28T00:00:00.000000Z - 2014-04-28T14:02:45.740000Z | 100.0 Hz, 5056575 samples
MQ.IA2.00.EHE | 2014-04-29T00:00:00.000000Z - 2014-04-29T05:39:42.740000Z | 100.0 Hz, 2038275 samples
MQ.IA2.00.EHE | 2014-04-30T00:00:00.000000Z - 2014-04-30T00:48:47.740000Z | 100.0 Hz, 292775 samples
MQ.IA2.00.EHE | 2014-05-01T00:00:00.000000Z - 2014-05-01T13:42:30.740000Z | 100.0 Hz, 4935075 samples
MQ.IA2.00.EHE | 2014-05-02T00:00:00.000000Z - 2014-05-02T05:57:46.740000Z | 100.0 Hz, 2146675 samples
MQ.IA2.00.EHE | 2014-05-03T00:00:00.000000Z - 2014-05-03T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHE | 2014-05-04T00:00:00.000000Z - 2014-05-04T02:07:42.740000Z | 100.0 Hz, 766275 samples
MQ.IA2.00.EHE | 2014-05-05T00:00:00.000000Z - 2014-05-05T11:04:43.740000Z | 100.0 Hz, 3988375 samples
MQ.IA2.00.EHE | 2014-05-06T00:00:00.000000Z - 2014-05-06T22:49:33.740000Z | 100.0 Hz, 8217375 samples
MQ.IA2.00.EHE | 2014-05-07T00:00:00.000000Z - 2014-05-07T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHE | 2014-05-08T00:00:00.000000Z - 2014-05-08T11:12:47.740000Z | 100.0 Hz, 4036775 samples
MQ.IA2.00.EHE | 2014-05-09T00:00:00.000000Z - 2014-05-09T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.IA2.00.EHE | 2014-05-10T00:00:00.000000Z - 2014-05-10T06:03:47.740000Z | 100.0 Hz, 2182775 samples
MQ.IA2.00.EHE | 2014-05-11T00:00:00.000000Z - 2014-05-11T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHE | 2014-05-12T00:00:00.000000Z - 2014-05-12T10:46:50.740000Z | 100.0 Hz, 3881075 samples
MQ.IA2.00.EHE | 2014-05-13T00:00:00.000000Z - 2014-05-13T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHE | 2014-05-14T00:00:00.000000Z - 2014-05-14T02:58:53.740000Z | 100.0 Hz, 1073375 samples
MQ.IA2.00.EHE | 2014-05-15T00:00:00.000000Z - 2014-05-15T04:20:45.740000Z | 100.0 Hz, 1564575 samples
MQ.IA2.00.EHE | 2014-05-16T00:00:00.000000Z - 2014-05-16T03:16:32.740000Z | 100.0 Hz, 1179275 samples
MQ.IA2.00.EHE | 2014-05-17T00:00:00.000000Z - 2014-05-17T02:27:44.740000Z | 100.0 Hz, 886475 samples
MQ.IA2.00.EHE | 2014-05-18T00:00:00.000000Z - 2014-05-18T05:19:54.740000Z | 100.0 Hz, 1919475 samples
MQ.IA2.00.EHE | 2014-05-19T00:00:00.000000Z - 2014-05-19T09:54:47.740000Z | 100.0 Hz, 3568775 samples
MQ.IA2.00.EHE | 2014-05-20T00:00:00.000000Z - 2014-05-20T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHE | 2014-05-21T00:00:00.000000Z - 2014-05-21T14:32:52.740000Z | 100.0 Hz, 5237275 samples
MQ.IA2.00.EHE | 2014-05-22T00:00:00.000000Z - 2014-05-22T08:08:54.740000Z | 100.0 Hz, 2933475 samples
MQ.IA2.00.EHE | 2014-05-23T00:00:00.000000Z - 2014-05-23T04:13:39.740000Z | 100.0 Hz, 1521975 samples
MQ.IA2.00.EHE | 2014-05-24T00:00:00.000000Z - 2014-05-24T10:45:07.740000Z | 100.0 Hz, 3870775 samples
MQ.IA2.00.EHE | 2014-05-25T00:00:00.000000Z - 2014-05-25T10:35:00.740000Z | 100.0 Hz, 3810075 samples
MQ.IA2.00.EHN | 2014-02-20T00:00:00.000000Z - 2014-02-20T00:56:03.740000Z | 100.0 Hz, 336375 samples
MQ.IA2.00.EHN | 2014-02-21T00:00:00.000000Z - 2014-02-21T01:50:06.740000Z | 100.0 Hz, 660675 samples
MQ.IA2.00.EHN | 2014-02-22T00:00:00.000000Z - 2014-02-22T11:39:40.740000Z | 100.0 Hz, 4198075 samples
MQ.IA2.00.EHN | 2014-02-23T00:00:00.000000Z - 2014-02-23T00:04:30.740000Z | 100.0 Hz, 27075 samples
MQ.IA2.00.EHN | 2014-02-24T00:00:00.000000Z - 2014-02-24T00:00:53.740000Z | 100.0 Hz, 5375 samples
MQ.IA2.00.EHN | 2014-02-25T00:00:00.000000Z - 2014-02-25T02:48:13.740000Z | 100.0 Hz, 1009375 samples
MQ.IA2.00.EHN | 2014-02-26T00:00:00.000000Z - 2014-02-26T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.IA2.00.EHN | 2014-02-27T00:00:00.000000Z - 2014-02-27T01:43:02.740000Z | 100.0 Hz, 618275 samples
MQ.IA2.00.EHN | 2014-02-28T00:00:00.000000Z - 2014-02-28T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHN | 2014-03-01T00:00:00.000000Z - 2014-03-01T08:27:05.740000Z | 100.0 Hz, 3042575 samples
MQ.IA2.00.EHN | 2014-03-02T00:00:00.000000Z - 2014-03-02T19:01:32.740000Z | 100.0 Hz, 6849275 samples
MQ.IA2.00.EHN | 2014-03-03T00:00:00.000000Z - 2014-03-03T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHN | 2014-03-04T00:00:00.000000Z - 2014-03-04T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHN | 2014-03-05T00:00:00.000000Z - 2014-03-05T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHN | 2014-03-06T00:00:00.000000Z - 2014-03-06T16:36:20.740000Z | 100.0 Hz, 5978075 samples
MQ.IA2.00.EHN | 2014-03-07T00:00:00.000000Z - 2014-03-07T04:18:09.740000Z | 100.0 Hz, 1548975 samples
MQ.IA2.00.EHN | 2014-03-08T00:00:00.000000Z - 2014-03-08T23:59:59.990000Z | 100.0 Hz, 8640000 samples
