MQ.LAM.00.HHN | 2014-04-15T00:00:00.000000Z - 2014-04-15T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.LAM.00.HHN | 2014-04-16T00:00:00.000000Z - 2014-04-16T11:58:58.740000Z | 100.0 Hz, 4313875 samples
MQ.LAM.00.HHN | 2014-04-17T00:00:00.000000Z - 2014-04-17T16:31:58.740000Z | 100.0 Hz, 5951875 samples
MQ.LAM.00.HHN | 2014-04-18T00:00:00.000000Z - 2014-04-18T13:30:23.740000Z | 100.0 Hz, 4862375 samples
MQ.LAM.00.HHN | 2014-04-19T00:00:00.000000Z - 2014-04-19T13:13:03.740000Z | 100.0 Hz, 4758375 samples
MQ.LAM.00.HHN | 2014-04-20T00:00:00.000000Z - 2014-04-20T12:59:44.740000Z | 100.0 Hz, 4678475 samples
MQ.LAM.00.HHN | 2014-04-21T00:00:00.000000Z - 2014-04-21T06:36:42.740000Z | 100.0 Hz, 2380275 samples
MQ.LAM.00.HHN | 2014-04-22T00:00:00.000000Z - 2014-04-22T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.LAM.00.HHN | 2014-04-23T00:00:00.000000Z - 2014-04-23T13:23:55.740000Z | 100.0 Hz, 4823575 samples
MQ.LAM.00.HHN | 2014-04-24T00:00:00.000000Z - 2014-04-24T12:40:41.740000Z | 100.0 Hz, 4564175 samples
MQ.LAM.00.HHN | 2014-04-25T00:00:00.000000Z - 2014-04-25T11:47:10.740000Z | 100.0 Hz, 4243075 samples
MQ.LAM.00.HHN | 2014-04-26T00:00:00.000000Z - 2014-04-26T00:05:34.750000Z | 100.0 Hz, 33476 samples
MQ.LAM.00.HHN | 2014-04-27T00:00:00.000000Z - 2014-04-27T22:22:03.740000Z | 100.0 Hz, 8052375 samples
MQ.LAM.00.HHN | 2014-04-28T00:00:00.000000Z - 2014-04-28T13:30:06.740000Z | 100.0 Hz, 4860675 samples
MQ.LAM.00.HHN | 2014-04-29T00:00:00.000000Z - 2014-04-29T00:00:00.740000Z | 100.0 Hz, 75 samples
